Removed Pin From Net: NetName=NetC1_1 Pin=C1-1
Removed Pin From Net: NetName=GND Pin=C1-2
Removed Pin From Net: NetName=5V Pin=R7-2
Removed Pin From Net: NetName=GND Pin=R8-2
Removed Pin From Net: NetName=GND Pin=U5-1
Removed Pin From Net: NetName=NetR3_U_HDMI_SWITCH1_2 Pin=U5-3
Removed Pin From Net: NetName=5V Pin=U5-4
Removed Pin From Net: NetName=5V Pin=U5-8
Removed Member From Class: ClassName=U_SWITCH Member=R7
Removed Member From Class: ClassName=U_SWITCH Member=R8
Removed Member From Class: ClassName=U_SWITCH Member=U5
Remove Class Member: Failed to remove class member
Change Component Footprint: Designator=C1 Old Footprint=FP-C0603-CG-MFG New Footprint=CAPC1608X100X20ML10
Change Component Comment : Designator=C1 Old Comment=C0603C105Z8VACTU New Comment=C1608X5R1A226M080AC
Change Component Designator: OldDesignator=J5 NewDesignator=J4
Change Component Designator: OldDesignator=R6 NewDesignator=R5
Change Component Designator: OldDesignator=U4 NewDesignator=U2
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=2DDAECF6-75C1-4A47-9369-4D6ED161AE2E New ItemGUID=6D35BE7A-3FF5-4451-BF44-0B113CD87F90 Old RevisionGUID=93EECF0C-13FC-4F50-AD24-83AB8F661BA5 New RevisionGUID=7624ABCC-E1D3-454E-A4BC-58D0611496D6
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-C0603-CG-MFG"; UniqueID = "\WWZHNHDS\AUGLMTMP" ("\WWZHNHDS\AUGLMTMP")
Add component (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RK73H"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=R6(FP-RK73H1J-IPC_C)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "5000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RK73H"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=NetJ1_U_HDMI_IN1_17 Pin=J1_U_HDMI_IN1-17
Added Pin To Net: NetName=NetJ1_U_HDMI_IN2_17 Pin=J1_U_HDMI_IN2-17
Added Pin To Net: NetName=NetJ1_U_HDMI_IN3_17 Pin=J1_U_HDMI_IN3-17
Added Pin To Net: NetName=NetJ1_U_HDMI_IN4_17 Pin=J1_U_HDMI_IN4-17
Added Pin To Net: NetName=NetJ2_U_HDMI_IN1_17 Pin=J2_U_HDMI_IN1-17
Added Pin To Net: NetName=NetJ2_U_HDMI_IN2_17 Pin=J2_U_HDMI_IN2-17
Added Pin To Net: NetName=NetJ2_U_HDMI_IN3_17 Pin=J2_U_HDMI_IN3-17
Added Pin To Net: NetName=NetJ2_U_HDMI_IN4_17 Pin=J2_U_HDMI_IN4-17
Added Pin To Net: NetName=NetJ3_U_HDMI_OUT1_17 Pin=J3_U_HDMI_OUT1-17
Added Pin To Net: NetName=NetJ3_U_HDMI_OUT2_17 Pin=J3_U_HDMI_OUT2-17
Added Pin To Net: NetName=NetJ3_U_HDMI_OUT3_17 Pin=J3_U_HDMI_OUT3-17
Added Pin To Net: NetName=NetJ3_U_HDMI_OUT4_17 Pin=J3_U_HDMI_OUT4-17
Added Pin To Net: NetName=3V3 Pin=Q1-3
Added Pin To Net: NetName=NetR3_U_HDMI_SWITCH1_2 Pin=Q1-4
Added Pin To Net: NetName=GND Pin=Q2-1
Added Pin To Net: NetName=NetC1_1 Pin=Q2-2
Added Pin To Net: NetName=NetC1_1 Pin=Q3-2
Added Pin To Net: NetName=GND Pin=Q3-3
Added Pin To Net: NetName=3V3 Pin=R4-2
Added Pin To Net: NetName=3V3 Pin=R6-2
Change Net Name : Old Net Name=NetC1_1 New Net Name=NetQ2_2
Change Net Name : Old Net Name=NetR3_U_HDMI_SWITCH1_2 New Net Name=NetQ1_4
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=NetC1_2 Pin=Q3-1
Added Pin To Net: NetName=NetC1_2 Pin=R6-1
Added Pin To Net: NetName=NetC1_2 Pin=S1-3
Added Pin To Net: NetName=NetC1_2 Pin=S1-4
Added Net: Name=NetC1_2
Added Pin To Net: NetName=NetQ1_1 Pin=Q1-1
Added Pin To Net: NetName=NetQ1_1 Pin=Q2-3
Added Pin To Net: NetName=NetQ1_1 Pin=R4-1
Added Net: Name=NetQ1_1
Added Member To Class: ClassName=U_SWITCH Member=Component Q1 IRF5210SPBF
Added Member To Class: ClassName=U_SWITCH Member=Component Q2 BC547B
Added Member To Class: ClassName=U_SWITCH Member=Component Q3 BC547B
Added Member To Class: ClassName=U_SWITCH Member=Component R4 RK73H1JLTD1003F
Added Member To Class: ClassName=U_SWITCH Member=Component R6 RK73H1JLTD1003F
